title,parent_and_id_1,type,url,wikidata,api_list_children,last_check
🇦🇹 Österreich,data.europa.eu|data-gv-at,country,https://www.data.gv.at/,Q40,,2023-06-16
🇧🇪 Belgien,data.europa.eu|data-gov-be,country,https://data.gov.be/,Q31,,2023-09-19
🇧🇬 Bulgarien,data.europa.eu|open-data-bulgaria,country,https://data.egov.bg/,Q219,,2023-09-19
🇪🇸 Spanien,data.europa.eu|datos-gob-es,country,https://datos.gob.es/,Q29,,2023-09-19
🇫🇷 Frankreich,data.europa.eu|plateforme-ouverte-des-donnees-publiques-francaises,country,https://www.data.gouv.fr/,Q142,,2023-09-19
🇬🇧 Großbritannien,data.europa.eu|data-gov-uk,country,https://www.data.gov.uk/,Q145,,2023-09-19
🇬🇷 Griechenland,data.europa.eu|data-gov-gr,country,https://data.gov.gr/,Q41,,2023-09-19
🇮🇪 Irland,data.europa.eu|data-gov-ie,country,https://data.gov.ie/,Q27,,2023-09-19
🇮🇹 Italien,data.europa.eu|dati-gov-it,country,http://dati.gov.it/,Q38,,2023-09-19
🇳🇱 Niederlande,data.europa.eu|dataportaal-van-de-nederlandse-overheid,country,https://data.overheid.nl/,Q29999,,2023-09-19
🇸🇪 Schweden,data.europa.eu|oppnadata,country,https://www.dataportal.se/,Q34,,2023-09-19
🇸🇮 Slowenien,data.europa.eu|odprti-podatki-slovenije,country,https://podatki.gov.si/,Q215,,2023-09-19
🇺🇦 Ukraine,data.europa.eu|data-gov-ua,country,https://data.gov.ua/,Q212,,2023-09-19
