title,type,portal_title,parent_and_id_1,parent_and_id_2,parent_and_id_3,parent_and_id_4,url,begin,rs,associated_rs,wikidata,hosting,technology,api,api_list_children,dcat_ap_de,last_check
Aachen,municipality,Aachen,offenedaten.aachen.de|stadt-aachen,,,,https://offenedaten.aachen.de/organization/stadt-aachen,,053340002002,,Q1017,,,,,,2023-02-05
Aachen (Portal),portal,Aachen,open.nrw|aachen,Open NRW: Aachen,,,https://offenedaten.aachen.de/,,,,Q97145394,regio iT - gesellschaft für informationstechnologie mbH,CKAN,http://offenedaten.aachen.de/api/3/action/package_list,https://offenedaten.aachen.de/api/3/action/organization_list,,2023-08-11
Adenau,collectiveMunicipality,Verbandsgemeinde Adenau,daten.rlp.de|verbandsgemeinde_adenau,,,,,,071315001,,Q559351,,,,,,2023-07-18
Adendorf,municipality,Gemeinde Adendorf,geoportal.de|GemeindeAdendorf,,,,,,033550001001,,Q355913,,,,,,2023-09-19
Alsdorf,municipality,Stadt Alsdorf,offenedaten.aachen.de|stadt-alsdorf,,,,,,053340004004,,Q6992,,,,,,2023-08-11
Altenahr,collectiveMunicipality,Verbandsgemeinde Altenahr,daten.rlp.de|verbandsgemeinde_altenahr,,,,https://daten.rlp.de/organization/verbandsgemeinde_altenahr,,071315002,,Q559976,,,,,,2023-05-14
Altenberge,municipality,Gemeinde Altenberge,geoportal.de|GemeindeAltenberge,,,,https://www.o-sp.de/altenberge/opendata,,055660004004,,Q181809,,,,,,2023-05-21
Altenburger Land,district,Landratsamt Altenburger Land,geoportal.de|LandratsamtAltenburgerLand,geoportal.de|LRAAltenburgerLand,,,,,16077,,Q7888,,,,,,2023-07-26
Altenkirchen-Flammersfeld,collectiveMunicipality,Verbandsgemeinde Altenkirchen,daten.rlp.de|verbandsgemeinde_altenkirchen,,,,,,071325010,,Q56245020,,,,,,2023-05-14
Am Brahmetal,collectiveMunicipality,Verwaltungsgemeinschaft Am Brahmetal,geoportal.de|VerwaltungsgemeinschaftAmBrahmetal,,,,,,160765008,,Q145628,,,,,,2023-09-19
Am Ettersberg,collectiveMunicipality,Gemeinde Am Ettersberg und der beauftragenden Gemeinden,geoportal.de|GemeindeAmEttersbergundderbeauftragendenGemeinden,,,,,,160715053,,Q59775091,,,,,,2023-08-14
Am Ohmberg,municipality,Gemeinde Am Ohmberg,geoportal.de|GemeindeAmOhmberg,,,,,,160610116116,,Q451378,,,,,,2023-09-09
Ammerland,district,Landkreis Ammerland - Test,geoportal.de|LandkreisAmmerlandTest,,,,,,03451,,Q5947,,,,,,2023-07-26
Ammersbek,municipality,Gemeinde Ammersbek,geoportal.de|GemeindeAmmersbek,opendata.schleswig-holstein.de|ammersbek,,,,,010620090090,,Q473175,,,,,,2023-09-19
Amt Eidertal,collectiveMunicipality,Amt Eidertal,geoportal.de|AmtEidertal,opendata.schleswig-holstein.de|amt-eidertal,,,,,010585896,,Q113342498,,,,,,2023-09-19
Amt Süderbrarup,collectiveMunicipality,Amt Süderbrarup,opendata.schleswig-holstein.de|amt-suederbrarup,mcloud.de|OpenDataSchleswigHolsteinAmtSderbrarup,,,https://opendata.schleswig-holstein.de/organization/amt-suederbrarup,,010595974,,Q316729,,,,,,2023-02-05
Amt Wachsenburg,municipality,Gemeinde Amt Wachsenburg,geoportal.de|GemeindeAmtWachsenburg,,,,,,160700028028,,Q480107,,,,,,2023-09-09
An der Schmücke,municipality,Stadt An der Schmücke,geoportal.de|StadtAnderSchmcke,,,,,,160655056088,,Q59775092,,,,,,2023-08-13
Andernach,municipality,Stadt Andernach,daten.rlp.de|stadt_andernach,,,,https://daten.rlp.de/organization/stadt_andernach,,071370003003,,Q490058,,,,,,2023-05-21
Apen,municipality,Gemeinde Apen,geoportal.de|GemeindeApen,,,,,,034510001001,,Q503471,,,,,,2023-07-15
Arnsberg,municipality,Stadt Arnsberg,geoportal.de|StadtArnsberg,,,,http://offenedaten.arnsberg.de,,059580004004,,Q3912,,Website,,,,2023-05-21
Artern,collectiveMunicipality,Stadt Artern und der beauftragenden Gemeinden,geoportal.de|StadtArternundderbeauftragendenGemeinden,,,,,,160655055,,Q163346,,,,,,2023-08-14
Artland,collectiveMunicipality,Samtgemeinde Artland,geoportal.de|SamtgemeindeArtland,,,,,,034595401,,Q450095,,,,,,2023-07-24
Attendorn,municipality,Hansestadt Attendorn,geoportal.de|HansestadtAttendorn,,,,https://www.o-sp.de/attendorn/opendata,,059660004004,,Q10887,,,,,,2023-05-21
Auengrund,collectiveMunicipality,Gemeinde Auengrund und der beauftragenden Gemeinden,geoportal.de|GemeindeAuengrundundderbeauftragendenGemeinden,,,,,,160695051,,Q546627,,,,,,2023-08-14
Augsburg,municipality,Stadt Augsburg,http://dcat-ap.de/def/contributors/stadtAugsburg,opendata.bayern|augsburg,,,,,097610000000,,Q2749,,,,,,2023-09-30
Auma-Weidatal,municipality,Stadt Auma-Weidatal,geoportal.de|StadtAumaWeidatal,,,,,,160760092092,,Q4426,,,,,,2023-08-13
Auswärtiges Amt,federal,Auswärtiges Amt,http://dcat-ap.de/def/contributors/auswaertigesAmt,,,,,,,,Q56034,,,,,,
Autobahn GmbH,federalAgency,Die Autobahn GmbH des Bundes,mcloud.de|DieAutobahnGmbHdesBundes,,,,,,,,Q31840061,,,,,,2023-08-17
AWSH - Abfallwirtschaft Südholstein GmbH,other,AWSH - Abfallwirtschaft Südholstein GmbH,opendata.schleswig-holstein.de|awsh-abfallwirtschaft-sudholstein-gmbh,,,,https://opendata.schleswig-holstein.de/organization/awsh-abfallwirtschaft-sudholstein-gmbh,,,,,,,,,,2023-02-05
Bad Berka,municipality,Stadt Bad Berka,geoportal.de|StadtBadBerka,,,,,,160710003003,,Q630334,,,,,,2023-08-13
Bad Blankenburg,municipality,Stadt Bad Blankenburg,geoportal.de|StadtBadBlankenburg,,,,,,160730005005,,Q518432,,,,,,2023-08-13
Bad Essen,municipality,Gemeinde Bad Essen,geoportal.de|GemeindeBadEssen,,,,,,034590003003,,Q554095,,,,,,2023-08-11
Bad Frankenhausen/Kyffhäuser,municipality,Stadt Bad Frankenhausen/Kyffhäuser,geoportal.de|StadtBadFrankenhausenKyffhuser,,,,,,160650003003,,Q151876,,,,,,2023-08-13
Bad Klosterlausnitz,collectiveMunicipality,Gemeinde Bad Klosterlausnitz und der beauftragenden Gemeinden,geoportal.de|GemeindeBadKlosterlausnitzundderbeauftragendenGemeinden,,,,,,160745053,,Q568106,,,,,,2023-08-14
Bad Köstritz,collectiveMunicipality,Stadt Bad Köstritz und der beauftragenden Gemeinden,geoportal.de|StadtBadKstritzundderbeauftragendenGemeinden,,,,,,160765051,,Q4431,,,,,,2023-08-14
Bad Langensalza,municipality,Stadt Bad Langensalza,geoportal.de|StadtBadLangensalza,,,,,,160640003003,,Q518368,,,,,,2023-08-11
Bad Lobenstein,municipality,Stadt Bad Lobenstein,geoportal.de|StadtBadLobenstein,,,,,,160750062062,,Q505656,,,,,,2023-08-13
Bad Münstereifel,municipality,Bad Münstereifel,offenedaten.kdvz-frechen.de|bad-münstereifel,offenedaten.kdvz.nrw|bad-münstereifel,,,http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel,2016-11-08,053660004004,,Q241450,Stadt Köln,DKAN,,,,2023-08-27
Bad Nauheim,municipality,Stadt Bad Nauheim,geoportal.de|StadtBadNauheim,,,,,,064400002002,,Q16105,,,,,,2023-08-13
Bad Oldesloe-Land,collectiveMunicipality,Amt Bad Oldesloe-Land,opendata.schleswig-holstein.de|amt-bad-oldesloe-land,geoportal.de|AmtBadOldesloeLand,,,,,010625207,,Q478934,,,,,,2023-09-09
Bad Salzuflen,municipality,Stadt Bad Salzuflen,geoportal.de|StadtBadSalzuflen,,,,,,057660008008,,Q4108,,,,,,2023-08-13
Bad Sassendorf,municipality,Gemeinde Bad Sassendorf,geoportal.de|GemeindeBadSassendorf,,,,,,059740008008,,Q11130,,,,,,2023-09-09
Bad Sulza,municipality,Stadtverwaltung Bad Sulza,geoportal.de|StadtverwaltungBadSulza,,,,,,160715051004,,Q124840,,,,,,2023-09-09
Bad Tabarz,municipality,Gemeinde Bad Tabarz,geoportal.de|GemeindeBadTabarz,,,,,,160670064064,,Q309670,,,,,,2023-09-09
Bad Tennstedt,collectiveMunicipality,Verwaltungsgemeinschaft Bad Tennstedt,geoportal.de|VerwaltungsgemeinschaftBadTennstedt,,,,,,160645001,,Q879482,,,,,,2023-09-19
Bad Zwischenahn,municipality,Bad Zwischenahn,geoportal.de|GemeindeBadZwischenahn,,,,,,034510002002,,Q504526,,,,,,2023-07-15
Baden-Württemberg,state,Open Data Baden-Württemberg,http://dcat-ap.de/def/contributors/datenBW,,,,https://www.daten-bw.de/,2014-10-08,08,,Q985,,,,https://www.daten-bw.de/ckan/api/3/action/organization_list,,2023-08-09
Baesweiler,municipality,Stadt Baesweiler,offenedaten.aachen.de|stadt-baesweiler,,,,,,053340008008,,Q200894,,,,,,2023-08-13
Bautzen,district,Landratsamt Bautzen,geoportal.de|LandratsamtBautzen,,,,,,14625,,Q571947,,,,,,2023-07-27
Bayerisches Landesamt für Umwelt,stateAgency,Bayerisches Landesamt für Umwelt,geoportal.de|BayerischesLandesamtfrUmwelt,,,,,,,09,Q63088680,,,,,,2023-08-11
Bayern,state,Bayern,http://dcat-ap.de/def/contributors/openDataBayern,,,,https://opendata.bayern,,09,,Q980,,Piveau,https://opendata.bayern/api/hub/search/,https://opendata.bayern/api/hub/search/catalogues,,2023-05-25
Beauftragter der Bundesregierung für Kultur und Medien,federalAgency,Die Beauftragte der Bundesregierung für Kultur und Medien,http://dcat-ap.de/def/contributors/dieBeauftragteDerBundesregierungFuerKulturUndMedien,,,,,,,,Q813386,,,,,,
Bedburg,municipality,Bedburg,offenedaten.kdvz-frechen.de|bedburg,offenedaten.kdvz.nrw|bedburg,,,http://offenedaten.kdvz-frechen.de/group/bedburg,2017-04-29,053620004004,,Q245292,Stadt Köln,DKAN,,,,2023-08-27
Bedburg-Hau,municipality,Gemeinde Bedburg-Hau,geoportal.de|GemeindeBedburgHau,,,,,,051540004004,,Q243433,,,,,,2023-05-21
Belm,municipality,Gemeinde Belm,geoportal.de|GemeindeBelm,,,,,,034590008008,,Q570299,,,,,,2023-08-11
Bendorf,municipality,Stadt Bendorf,daten.rlp.de|stadt_bendorf,,,,,,071370203203,,Q708708,,,,,,2023-07-18
Berga/Elster,municipality,Stadt Berga/Elster,geoportal.de|StadtBergaElster,,,,,,160760004004,,Q276150,,,,,,2023-08-13
Bergheim,municipality,Bergheim,offenedaten.kdvz-frechen.de|bergheim,offenedaten.kdvz.nrw|bergheim,,,http://offenedaten.kdvz-frechen.de/group/bergheim,2016-11-08,053620008008,,Q3989,Stadt Köln,DKAN,,,,2023-08-27
Bergkamen,municipality,Stadt Bergkamen,geoportal.de|StadtBergkamen,,,,https://www.o-sp.de/bergkamen/opendata,,059780004004,,Q4192,,,,,,2023-05-21
Bergstraße,district,Kreis Bergstraße,geoportal.de|KreisBergstrae,,,,,,06431,,Q7917,,,,,,2023-07-28
Berlin,municipality+state,Berlin,http://dcat-ap.de/def/contributors/berlinOpenData,,,,https://daten.berlin.de,2011-09-23,11,,Q64,BerlinOnline Stadtportal GmbH & Co. KG,CKAN,https://datenregister.berlin.de/api/3/action/package_list,https://datenregister.berlin.de/api/3/action/organization_list,https://datenregister.berlin.de/catalog.ttl,2023-02-06
Bernkastel-Kues,collectiveMunicipality,Verbandsgemeinde Bernkastel Kues,daten.rlp.de|verbandsgemeinde_bernkastel_kues,,,,,,072315001,,Q643228,,,,,,2023-05-14
Bernkastel-Kues,municipality,Stadt Bernkastel-Kues,daten.rlp.de|stadt_bernkastel_kues,,,,,,072315001008,,Q155622,,,,,,2023-07-19
Bernkastel-Wittlich,district,Landkreis Bernkastel-Wittlich,daten.rlp.de|landkreis_bernkastel_wittlich,,,,,,07231,,Q8585,,,,,,2023-07-18
Bersenbrück,collectiveMunicipality,Samtgemeinde Bersenbrück,geoportal.de|SamtgemeindeBersenbrck,,,,,,034595402,,Q453990,,,,,,2023-07-24
Bezirksversammlung,municipalityAgency,ALLRIS,suche.transparenz.hamburg.de|allris,,,,,,,020000000000,Q854388,,CKAN,,,,2023-04-11
Bielefeld,municipality,Bielefeld,open.nrw|bielefeld,mcloud.de|OpenNRWBielefeld,,,https://open-data.bielefeld.de/,,057110000000,,Q2112,Stadt Köln,DKAN,https://open-data.bielefeld.de/api/3/action/package_list,https://open-data.bielefeld.de/api/3/action/group_list,,2023-05-21
Bielefeld - Amt für Geoinformation und Kataster,municipalityAgency,Stadt Bielefeld - Amt für Geoinformation und Kataster,geoportal.de|StadtBielefeldAmtfrGeoinformationundKataster,,,,,,,057110000000,,,,,,,2023-05-21
